paper_id,row_type,efficacy_source,year,first_author,design,country,journal,title_short,sport,sport_category,athlete_level,n_total,age_mean,age_sd,sex_male_pct,bt_classification,comparator,arm_structure,outcome_domain,outcome_metric,timepoint,lower_is_better,ig_n,ig_mean,ig_sd,cg_n,cg_mean,cg_sd,dispersion_note,complete_for_smd,n_allocated_ig,n_allocated_cg,dropout_n_ig,dropout_n_cg,adherence_rate_ig,adherence_rate_cg,completion_note,feasibility_source_quote,any_ae_reported,overall_ae_n,overall_ae_total,serious_ae_n,ae_description,safety_source_quote,any_ae_n_ig,any_ae_total_ig,any_ae_n_cg,any_ae_total_cg,ae_type,ae_n_ig,ae_n_cg,arm_safety_source_quote,source_row,intervention_bt_classification,intervention_breathing_category,intervention_comparator,intervention_arm_structure,intervention_timing,intervention_total_duration,publication_year_num,n_total_num,age_mean_num,age_sd_num,sex_ratio_prop,ig_n_num,ig_mean_num,ig_sd_num,cg_n_num,cg_mean_num,cg_sd_num,n_allocated_ig_num,n_allocated_cg_num,dropout_n_ig_num,dropout_n_cg_num,adherence_ig_prop,adherence_cg_prop,bt_category,design_group,dose_duration_days_num,male_n,female_n,outcome_index
Woorons2020,metadata_only,none,2020,Woorons,RCT,France,Int J Sports Physiol Perform,Transferable benefits of cycle hypoventilation training,Team sports,team sports,competitive,16,,,,hypoventilation,normal breathing,parallel,,,,,,,,,,,,False,,,,,,,,,unclear,,,,,,,,,,,,,,43,hypoventilation,hypoventilation,normal breathing,parallel,training intervention,,2020,16,,,,,,,,,,,,,,,,hypoventilation,parallel_or_controlled_trial,,,,43
Bahensky2021,efficacy_outcome,additional,2021,Bahensky,RCT,Czech Republic,J. Clin. Med.,Impact of a Breathing Intervention on Engagement,Unclear,non-sport exercise/performance,unclear,46,,,,yoga-based breathing,normal training,parallel,physiological,Subclavian pressure,post-training,FALSE,22,2.83,0.88,23,2.98,1.35,,True,23,23,1,0,,,,One participant did not complete the intervention for medical reasons unrelated to the intervention and was excluded,yes,1,46,,medical reasons,One participant did not complete the intervention for medical reasons unrelated to the intervention,,,,,,,,,44,yoga-based breathing,yoga/pranayama,normal training,parallel,training intervention,8 weeks,2021,46,,,,22,2.83,0.88,23,2.98,1.35,23,23,1,0,,,pranayama_yogic,parallel_or_controlled_trial,56,,,44
Citherlet2021,efficacy_outcome,additional,2021,Citherlet,Crossover,Switzerland,Frontiers in Sports and Active Living,Wim Hof breathing method,Repeated sprinting,running,competitive,16,,,,Wim Hof breathing method,spontaneous breathing,crossover,physiological,SpO2,acute pre-exercise,FALSE,15,99,0,15,97,1,,False,16,16,,,,,1 dropout due to injury.,1 participant was excluded because of a muscular injury,yes,1,16,,muscular injury,1 participant was excluded because of a muscular injury (in the lower limb during the first sprint),,,,,,,,,46,Wim Hof Method,mixed protocol,spontaneous breathing,crossover,acute pre-exercise,12 min,2021,16,,,,15,99,0,15,97,1,16,16,,,,,other_unclear,crossover,0.008333333333333333,,,46
Dobashi2021,metadata_only,none,2021,Dobashi,Crossover,Japan,Eur J Sport Sci,Voluntary hypocapnic hyperventilation lasting 5 min and 20 min similarly reduce aerobic metabolism,Cycling,cycling,mixed,11,24,2,91,voluntary hyperventilation,control,crossover,,,,,,,,,,,,False,11,11,,,,,,,unclear,,,,,,,,,,,,,,47,voluntary hyperventilation,hyperventilation,control,crossover,acute pre-exercise,"5 min, 20 min",2021,11,24,2,0.91,,,,,,,11,11,,,,,hyperventilation,crossover,0.003472222222222222,10.01,0.9899999999999997,47
Grossman2021,efficacy_outcome,additional,2021,Grossman,Crossover,Canada,Front Physiol,Breath holding during heavy-intensity Fartlek exercise,Cycling,cycling,healthy active,10,23.7,2.5,100,breath holding (CONLD-BH),free-breathing (CONLD),crossover,physiological,VCO2,post-exercise,FALSE,10,2.43,0.70,10,2.55,0.65,,True,10,10,,,,,,,unclear,,,,,,,,,,,,,,48,breath holding,breath holding/apnea,free-breathing,crossover,during exercise,,2021,10,23.7,2.5,1,10,2.43,0.7,10,2.55,0.65,10,10,,,,,breath_holding,crossover,,10,0,48
Taylor2021,efficacy_outcome,additional,2021,Buchanan,Crossover,USA,Human Movement Science,Fast breathing facilitates reaction time and movement time of a memory-guided force pulse,Memory-guided force pulse,non-sport exercise/performance,healthy active,47,21.3,2.8,36,fast-paced breathing,slow-paced breathing,crossover,performance,NMT,during task,TRUE,47,281.83,226.50,47,303.28,225.36,,True,47,47,,,,,,,unclear,,,,,,,,,,,,,,50,fast-paced breathing,paced breathing,slow-paced breathing,crossover,during exercise,,2021,47,21.3,2.8,0.36,47,281.83,226.5,47,303.28,225.36,47,47,,,,,paced_breathing,crossover,,16.919999999999998,30.080000000000002,50
Vaidya2021,metadata_only,none,2021,Vaidya,RCT,India,Int J Yoga Therapy,Effect of Yoga on Performance and Physical Fitness in Cricket Bowlers,Cricket,team sports,competitive,30,,,,yoga-based breathing,control,parallel,,,,,,,,,,,,False,,,,,,,,,unclear,,,,,,,,,,,,,,52,yoga-based breathing,yoga/pranayama,control,parallel,training intervention,,2021,30,,,,,,,,,,,,,,,,pranayama_yogic,parallel_or_controlled_trial,,,,52
Brocherie2022,metadata_only,none,2022,Brocherie,RCT,France,Int J Sports Sci Coach,Effects of a 5-week off-ice repeated-sprint training with voluntary hypoventilation,Ice hockey,team sports,elite,43,16.7,1.5,100,hypoventilation (VHL),normal breathing (RSN),parallel,,,,,,,,,,,,False,43,,,,,,,8 dropouts total.,yes,3,43,,injuries,Eight out of the 43 subjects were unable to complete the protocol due to injuries (n=3),,,,,,,,,53,hypoventilation (VHL),hypoventilation,normal breathing,parallel,training intervention,5 weeks,2022,43,16.7,1.5,1,,,,,,,43,,,,,,hypoventilation,parallel_or_controlled_trial,35,43,0,53
Conlon2022,efficacy_outcome,additional,2022,Conlon,RCT,UK,,The effects of breathing techniques on pressurized performance and stress-responses,Shooting,mixed/various sports,competitive,67,,,,slow diaphragmatic breathing,paced breathing (12 cpm),parallel,physiological,RMSSD,post-intervention,FALSE,22,67.55,42.19,21,61.29,28.05,,True,23,44,1,2,,,,,unclear,,,,,,,,,,,,,,54,slow diaphragmatic breathing,diaphragmatic,paced breathing,parallel,acute pre-exercise,5 min,2022,67,,,,22,67.55,42.19,21,61.29,28.05,23,44,1,2,,,diaphragmatic,parallel_or_controlled_trial,0.003472222222222222,,,54
Marko2022,efficacy_outcome,additional,2022,Marko,Before-after,Czech Republic,J. Clin. Med.,Does Wim Hof Method Improve Breathing Economy during Exercise?,Cycling,cycling,healthy active,23,,,,Wim Hof Method,baseline,crossover,physiological,VT,post-test,FALSE,11,1.67,0.25,11,1.66,0.27,,True,23,,,,,,,,unclear,,,,,,,,,,,,,,56,Wim Hof Method,mixed protocol,baseline,single-arm,acute pre-exercise,,2022,23,,,,11,1.67,0.25,11,1.66,0.27,23,,,,,,other_unclear,before_after,,,,56
You2023,efficacy_outcome,additional,2023,You,Crossover,France,Applied Psychophysiology and Biofeedback,Single slow-paced Breathing Session at six cycles per minute,Unclear,non-sport exercise/performance,healthy active,78,22.32,2.11,71,slow-paced breathing (6 cpm),usual breathing,crossover,physiological,SDNN,post-intervention,FALSE,75,141.37,45.35,75,98.23,40.70,,True,78,78,,,,,3 dropouts total.,,unclear,,,,,,,,,,,,,,58,slow-paced breathing,paced breathing,usual breathing,crossover,baseline/testing,,2023,78,22.32,2.11,0.71,75,141.37,45.35,75,98.23,40.7,78,78,,,,,paced_breathing,crossover,,55.379999999999995,22.620000000000005,58
