paper_id,publication_year,study_design,sport_discipline,athlete_level,n_total,age_mean,age_sd,sex_ratio_male_pct,bt_classification,dose_frequency,dose_duration_days,comparator_type,outcome_metric,ig_n,ig_mean,ig_dispersion,cg_n,cg_mean,cg_dispersion,effect_estimate,adverse_events,adherence_rate_pct,dropout_rate_pct,feasibility_score,source_row,source_row_text,paper_id_original,paper_id_repaired,publication_year_num,n_total_num,age_mean_num,age_sd_num,sex_ratio_prop,dose_frequency_week,dose_duration_days_num,ig_n_num,ig_mean_num,ig_sd_num,cg_n_num,cg_mean_num,cg_sd_num,adherence_prop,dropout_prop,bt_category,design_group,outcome_index
Sikora2024,2024,Observational - Cross-sectional,Various,Competitive,91,21.05,1.56,48.35,Other,,1,Active control,Forced Vital Capacity,38,6.18,1.18,22,4.85,0.95,,,,,,32,Sikora2024 2024 Observational - Cross-sectional Various Competitive 91 21.05 1.56 48.35 Other NA 1 Active control Forced Vital Capacity 38 6.18 1.18 22 4.85 0.95 NA NA NA NA NA 32,Sikora2024,FALSE,2024,91,21.05,1.56,0.48349999999999993,,1,38,6.18,1.1800000000000002,22,4.85,0.9500000000000001,,,other_unclear,single_group_or_observational,32
Woorons2024,2024,Experimental - RCT,Judo,Elite,20,20.1,2.5,50.0,Hypoventilation,2,28,Active control,Sdec,10,20.4,6.5,10,24.4,4.2,,,,,,33,Woorons2024 2024 Experimental - RCT Judo Elite 20 20.1 2.5 50.0 Hypoventilation 2 28 Active control Sdec 10 20.4 6.5 10 24.4 4.2 NA NA NA NA NA 33,Woorons2024,FALSE,2024,20,20.1,2.5,0.5,2,28,10,20.4,6.5,10,24.4,4.2,,,hypoventilation,parallel_or_controlled_trial,33
Woorons2024,2024,Experimental - RCT,Judo,Elite,20,20.1,2.5,50.0,Hypoventilation,2,28,Active control,RPE,10,8.5,0.4,10,9.0,0.6,,,,,,34,Woorons2024 2024 Experimental - RCT Judo Elite 20 20.1 2.5 50.0 Hypoventilation 2 28 Active control RPE 10 8.5 0.4 10 9.0 0.6 NA NA NA NA NA 34,Woorons2024,FALSE,2024,20,20.1,2.5,0.5,2,28,10,8.5,0.4,10,9,0.6,,,hypoventilation,parallel_or_controlled_trial,34
Deniz2025,2025,Experimental - Other,Resistance Training,Recreational,12,27.92,7.38,100.0,Valsalva,1,1,Crossover baseline,Completed Sets,12,23.83,0.58,12,23.5,1.0,,,,,,35,Deniz2025 2025 Experimental - Other Resistance Training Recreational 12 27.92 7.38 100.0 Valsalva 1 1 Crossover baseline Completed Sets 12 23.83 0.58 12 23.5 1.0 NA NA NA NA NA 35,Deniz2025,FALSE,2025,12,27.919999999999998,7.38,1,1,1,12,23.830000000000002,0.58,12,23.5,1,,,breath_holding,other_or_unclear,35
Deniz2025,2025,Experimental - Other,Resistance Training,Recreational,12,27.92,7.38,100.0,Valsalva,1,1,Crossover baseline,Training Volume,12,2437.92,361.38,12,2410.42,395.06,,,,,,36,Deniz2025 2025 Experimental - Other Resistance Training Recreational 12 27.92 7.38 100.0 Valsalva 1 1 Crossover baseline Training Volume 12 2437.92 361.38 12 2410.42 395.06 NA NA NA NA NA 36,Deniz2025,FALSE,2025,12,27.919999999999998,7.38,1,1,1,12,2437.92,361.38,12,2410.42,395.06,,,breath_holding,other_or_unclear,36
Deniz2025,2025,Experimental - Other,Resistance Training,Recreational,12,27.92,7.38,100.0,Valsalva,1,1,Crossover baseline,RPE Score,12,5.96,2.21,12,7.14,1.51,,,,,,37,Deniz2025 2025 Experimental - Other Resistance Training Recreational 12 27.92 7.38 100.0 Valsalva 1 1 Crossover baseline RPE Score 12 5.96 2.21 12 7.14 1.51 NA NA NA NA NA 37,Deniz2025,FALSE,2025,12,27.919999999999998,7.38,1,1,1,12,5.96,2.21,12,7.14,1.51,,,breath_holding,other_or_unclear,37
Fernandez2025,2025,Experimental - Other,Freediving,Elite,13,42.0,9.0,100.0,Other,1,1,Crossover baseline,SpO2 at 30s,13,96.0,4.3,13,93.0,8.9,5.08,mild pulmonary edema,,,,38,Fernandez2025 2025 Experimental - Other Freediving Elite 13 42.0 9.0 100.0 Other 1 1 Crossover baseline SpO2 at 30s 13 96.0 4.3 13 93.0 8.9 5.08 mild pulmonary edema NA NA NA 38,Fernandez2025,FALSE,2025,13,42,9,1,1,1,13,96,4.3,13,93,8.9,,,other_unclear,other_or_unclear,38
Fesseler2025,2025,Experimental - Other,Running,Recreational,36,24.0,1.8,50.0,Hyperventilation,1,1,Crossover baseline,Cumulative Elevation Gain,36,83.24,27.57,36,84.31,26.0,,unpleasant,,,,39,Fesseler2025 2025 Experimental - Other Running Recreational 36 24.0 1.8 50.0 Hyperventilation 1 1 Crossover baseline Cumulative Elevation Gain 36 83.24 27.57 36 84.31 26.0 NA unpleasant NA NA NA 39,Fesseler2025,FALSE,2025,36,24,1.8,0.5,1,1,36,83.24000000000001,27.57,36,84.31,26,,,hyperventilation,other_or_unclear,39
Fesseler2025,2025,Experimental - Other,Running,Recreational,36,24.0,1.8,50.0,Hyperventilation,1,1,Crossover baseline,Sprint 1 Lactate,36,12.75,3.0,36,12.05,3.22,,unpleasant,,,,40,Fesseler2025 2025 Experimental - Other Running Recreational 36 24.0 1.8 50.0 Hyperventilation 1 1 Crossover baseline Sprint 1 Lactate 36 12.75 3.0 36 12.05 3.22 NA unpleasant NA NA NA 40,Fesseler2025,FALSE,2025,36,24,1.8,0.5,1,1,36,12.75,3,36,12.05,3.22,,,hyperventilation,other_or_unclear,40
Fox2025,2025,Experimental - RCT,None,Recreational,404,37.0,10.0,43.81,Wim Hof,1,29,Active control,Energy,142,0.97,0.16,,,,,,,,,41,Fox2025 2025 Experimental - RCT None Recreational 404 37.0 10.0 43.81 Wim Hof 1 29 Active control Energy 142 0.97 0.16 NA NA NA NA NA NA NA NA 41,Fox2025,FALSE,2025,404,37,10,0.43809999999999993,1,29,142,0.97,0.16,,,,,,hyperventilation,parallel_or_controlled_trial,41
